username,description,tags,id,original_sound_path,name,license,preview_url,type,wav_sound_path,pack,bpm
jordanthebamf,hip hop loop_100bpm_dry.wav,"['100bpm', 'dry', 'hip', 'hop', 'loop', 'wav']",83318,/audio/original/83318.wav,hip hop loop_100bpm_dry.wav,http://creativecommons.org/licenses/sampling+/1.0/,https://www.freesound.org/data/previews/83/83318_1114840-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/83318.wav,https://www.freesound.org/apiv2/packs/4828/,100
Jovica,"A nice easy groovy loop, suitable for chill out tunes. This loop is part of the ""Rhythmmaker Randomized 140 bpm loops pack"" sample pack. They were all created with the Rhythmmaker ensemble, part of the Electronic Instruments Vol. 1, within Reaktor. Tempo is 140 bpm and duration 1 bar in 4/4. The measure division is sometimes different from the the straight four on the floor and quite experimental. Exported as a loop within Cubase SX and mastering don within Wavelab using several plugins (EQ, Stereo Enhancer, multiband compressor, limiter).","['140-bpm', 'drumloop', 'electro', 'loop']",6002,/audio/original/6002.wav,Rhythmmaker Randomized 140 bpm loop -05.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6002_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6002.wav,https://www.freesound.org/apiv2/packs/311/,140
zagi2,"Hard drum bassline. 110 bpm. Recorded in Cubase. <a href=""http://freesound.org/people/zagi2"" rel=""nofollow"">Check out my other stuff.</a>","['podcast', 'suspense', 'action', 'anxious', 'movie', 'thrill', 'rhythmic', 'loop', 'trip', 'groove', 'synth', 'rhythm', 'tense', 'zagi2', 'hard', 'pearls', 'beat', 'clip', 'short', 'sonic']",270367,/audio/original/270367.wav,stray pearls loop.wav,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/270/270367_3162775-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/270367.wav,,110
Jovica,"High resonant frequencies in an arpeggiated way at 100 BPM, 4 measures long at 4/4. Very rhythmic and groovy! All done on my Virus TI. Sequencing done within Cubase 5, audio editing within Wavelab 6.","['100bpm', 'groove', 'loop', 'multisample', 'rhytmic', 'sequence']",118389,/audio/original/118389.flac,THE REAL VIRUS 04 - RESONANT FREQUENCY LOOP 100 BPM 4_4 - G#4.flac,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/118/118389_2518-hq.mp3,flac,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/118389.wav,https://www.freesound.org/apiv2/packs/7435/,100
Jovica,A rhythmic loop created with an ensemble from the Reaktor User Library. This loop has a nice electro feel and the typical higher frequency bell like content of frequency modulation. An experimental harsh distorted loop. The tempo is 110 bpm and it lasts 1 measure 4/4. Mastered within Cubase SX and Wavelab using several plugins.,"['110-bpm', 'electronic', 'fm', 'loop', 'rhythmic']",6835,/audio/original/6835.wav,110 bpm FM Rhythm -09.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6835_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6835.wav,https://www.freesound.org/apiv2/packs/362/,110
sleep,"noisy, 90 bpm arpeggiated nylon string guitar recored into logic via a CAD condenser mic through an Audiophile 2496. Audible clicktrack.","['fingerpick', 'guitar', 'loop', 'nylon']",1374,/audio/original/1374.wav,90_bpm_nylon.wav,http://creativecommons.org/licenses/sampling+/1.0/,https://www.freesound.org/data/previews/1/1374_838-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/1374.wav,https://www.freesound.org/apiv2/packs/54/,90
hello_flowers,a minimalistic house thing,"['120', 'add', 'bpm', 'dont', 'drumloop', 'house', 'know', 'loop', 'minimal', 'noise', 'thing']",41017,/audio/original/41017.wav,...120bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41017_199517-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41017.wav,https://www.freesound.org/apiv2/packs/3996/,120
hello_flowers,113 beats per minute... uhh. another remix of samples by kat.,"['113', 'bpm', 'circuit-bent', 'dont', 'drumloop', 'glitch', 'know', 'loop', 'noise', 'thing']",41018,/audio/original/41018.wav,113 beat sperm innit.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41018_199517-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41018.wav,https://www.freesound.org/apiv2/packs/3997/,113
sleep,"noisy, 90 bpm arpeggiated nylon string guitar recored into logic via a CAD condenser mic through an Audiophile 2496. Audible clicktrack.","['fingerpick', 'guitar', 'loop', 'nylon']",1375,/audio/original/1375.wav,90_bpm_nylon2.wav,http://creativecommons.org/licenses/sampling+/1.0/,https://www.freesound.org/data/previews/1/1375_838-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/1375.wav,https://www.freesound.org/apiv2/packs/54/,90
hello_flowers,I don't know. Some noisy remixs of Kat's samples I think.,"['120', 'bpm', 'dont', 'drumloop', 'know', 'loop', 'noise', 'thing']",41020,/audio/original/41020.wav,I dunno...120bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41020_199517-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41020.wav,https://www.freesound.org/apiv2/packs/3997/,120
hello_flowers,A really funny little loop. it's another remix of Kat's really old samples.,"['120bpm', 'dont', 'drumloop', 'elevator-music', 'funny', 'know', 'loop', 'muzak', 'noise', 'thing']",41021,/audio/original/41021.wav,if you see kat...120bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41021_199517-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41021.wav,https://www.freesound.org/apiv2/packs/3996/,120
hello_flowers,I don't know. Some noisy remixs of Kat's samples I think.,"['101', 'bpm', 'dont', 'drumloop', 'know', 'loop', 'noise', 'thing']",41024,/audio/original/41024.wav,mqd101(um...wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41024_199517-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41024.wav,https://www.freesound.org/apiv2/packs/2020/,101
sleep,90 bpm noisy distorted guitar loop recorded with a Parker Fly though a Line 6 pod into Logic.,"['distortion', 'guitar', 'loop']",1376,/audio/original/1376.wav,90_bpm_parker.wav,http://creativecommons.org/licenses/sampling+/1.0/,https://www.freesound.org/data/previews/1/1376_838-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/1376.wav,https://www.freesound.org/apiv2/packs/54/,90
DirtyJewbs,A quick glitch sound I made.,"['gross', '200', 'beat', 'bpm', 'stutter', 'glitch', 'loop']",147522,/audio/original/147522.wav,glitch_stutter_loop_200BPM,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/147/147522_1735491-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/147522.wav,https://www.freesound.org/apiv2/packs/9085/,200
DirtyJewbs,A quick glitch sound I made.,"['gross', '200', 'beat', 'bpm', 'stutter', 'glitch', 'loop']",147523,/audio/original/147523.wav,glitch_stutter_loop_140BPM,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/147/147523_1735491-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/147523.wav,https://www.freesound.org/apiv2/packs/9085/,200
DirtyJewbs,A quick amped dubstep glitch loop.,"['gross', '200', 'beat', 'bpm', 'stutter', 'glitch', 'loop']",147524,/audio/original/147524.wav,dubstep_drumloop_amped_glitch_140BPM,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/147/147524_1735491-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/147524.wav,https://www.freesound.org/apiv2/packs/9085/,200
Jovica,A rhythmic loop created with an ensemble from the Reaktor User Library. This loop has a nice electro feel and the typical higher frequency bell like content of frequency modulation. Very high frequencies make this loop rather experimental. The tempo is 110 bpm and it lasts 1 measure 4/4. Mastered within Cubase SX and Wavelab using several plugins.,"['110-bpm', 'electronic', 'fm', 'loop', 'rhythmic']",6838,/audio/original/6838.wav,110 bpm FM Rhythm -12.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6838_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6838.wav,https://www.freesound.org/apiv2/packs/362/,110
UncleSigmund,Drum loop @ 120 bpm.,"['120bpm', '8-bit', 'drum', 'loop']",41030,/audio/original/41030.wav,120frugengeddy.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/41/41030_95609-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/41030.wav,,120
gis_sweden,Home made bass loop. Variation on 120bpm4sEmergenzy_G.wav,"['loopable', 'loop', 'electronic', 'ambient', 'loopmusic', 'synth', '120bpm', 'G', 'bass', 'noise', 'sound']",249868,/audio/original/249868.wav,120bpm4sEmergenzyVar_G.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/249/249868_1391542-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/249868.wav,,120
pitx,Loop made from sounds of the flamenco chords sample pack and clap pack. 120 bpm.,"['120-bpm', 'acoustic', 'chord', 'flamenco', 'guitar', 'loop', 'nylon', 'spanish-guitar']",16459,/audio/original/16459.wav,flamenco_loop_120bpm.wav,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/16/16459_40665-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/16459.wav,https://www.freesound.org/apiv2/packs/908/,120
Jovica,"High resonant frequencies in an arpeggiated way at 100 BPM, 4 measures long at 4/4. Very rhythmic and groovy! All done on my Virus TI. Sequencing done within Cubase 5, audio editing within Wavelab 6.","['100bpm', 'groove', 'loop', 'multisample', 'rhytmic', 'sequence']",118390,/audio/original/118390.flac,THE REAL VIRUS 04 - RESONANT FREQUENCY LOOP 100 BPM 4_4 - G#5.flac,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/118/118390_2518-hq.mp3,flac,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/118390.wav,https://www.freesound.org/apiv2/packs/7435/,100
UncleSigmund,A bass riff in E. Loops at 60 bpm.,"['60bpm', 'bass', 'e', 'loop', 'riff']",34373,/audio/original/34373.wav,bass60bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/34/34373_95609-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/34373.wav,,60
Jovica,This loop is an element form the mixdown sample proposals 20140316_attackloop_120BPM_4/4_Analog_1_Kit_ConstructionKit_mixdown1 and 20140316_attackloop_120BPM_4/4_Analog_1_Kit_ConstructionKit_mixdown2. It is an electronic percussion loop which was created with the Waldorf Attack VST Drum Synth. The kit used was Analog 1 Kit and the loop was created using Cubase 7.5. Various processing tools were used to create some variations as well as mastering using iZotope Ozone 5.,"['loop', 'electronic', 'electro', 'ConstructionKit', 'dance', '120BPM', 'percussion', 'rhythmic']",233828,/audio/original/233828.flac,20140316_attackloop_120BPM_4_4_Analog_1_Kit_ConstructionKit_ElectronicPercussion15.flac,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/233/233828_2518-hq.mp3,flac,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/233828.wav,https://www.freesound.org/apiv2/packs/14118/,120
Jovica,"This loop is rather minimal: only a few sounds create a groove with some swing in it. This loop is part of the ""Rhythmmaker Randomized 140 bpm loops pack"" sample pack. They were all created with the Rhythmmaker ensemble, part of the Electronic Instruments Vol. 1, within Reaktor. Tempo is 140 bpm and duration 1 bar in 4/4. The measure division is sometimes different from the the straight four on the floor and quite experimental. Exported as a loop within Cubase SX and mastering done within Wavelab using several plugins (EQ, Stereo Enhancer, multiband compressor, limiter).","['140-bpm', 'drumloop', 'electro', 'loop']",6004,/audio/original/6004.wav,Rhythmmaker Randomized 140 bpm loop -07.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6004_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6004.wav,https://www.freesound.org/apiv2/packs/311/,140
fons,140bpm techno loop. needs some limiting on those ear piercing peaks! ;),"['cold', 'harsh', 'industrial', 'loop', 'techno']",82010,/audio/original/82010.wav,iceboxloop.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/82/82010_9499-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/82010.wav,,140
djgriffin,selection of loops from a track i'm making from scratch.,"['dance', 'electronic', 'loop', 'processed', 'rave', 'techno', 'trance']",36879,/audio/original/36879.wav,poot8 135bpm.wav,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/36/36879_45941-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/36879.wav,,135
SpankMyFilth,"Dubstep Bass: 110 BPM wobble at 1/8th note, half of the samples as a sine LFO and saw LFO descending. Sampled in Ableton using massive, compression using PSP Compressor2. Random presets with LFO settings on key parts, and very little other effects used, mostly so this sample can be re-sampled. 110 BPM so it can be pitched up which is usually better then having to pitch samples down.","['loop', 'wobble', 'processed', 'porn-core', 'bpm', 'sound', 'techno', 'effect', 'beat', 'bass', 'noise', 'club', 'electro', 'synth', 'synthesizer', 'Skrillex', 'dub', 'trance', 'wah', 'sub', 'electronic', '110', 'dubstep', 'SpankMyFilth', 'wub', 'lfo', 'dance']",214373,/audio/original/214373.wav,13-8th Dubstep Bass c2.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/214/214373_4012250-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/214373.wav,https://www.freesound.org/apiv2/packs/13602/,110
zagi2,"Techno-dance loop. 118 bpm. Boosted kick drum. Made in Cubase. <a href=""http://freesound.org/people/zagi2"" rel=""nofollow"">Check out my other stuff.</a>","['bassdrum', 'hard', 'dope', 'boost', 'cool', 'loop', 'groove', 'dance', 'rhythm', 'kick', 'techno', 'beats', 'percussion', 'zagi2', 'beat', 'bass', 'drum', '118bpm', 'rhythmic']",204896,/audio/original/204896.wav,Sanin`s loop.wav,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/204/204896_3162775-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/204896.wav,,118
Jovica,A rhythmic loop created with an ensemble from the Reaktor User Library. This loop has a nice electro feel and the typical higher frequency bell like content of frequency modulation. An experimental loop that's a little overdriven. The tempo is 110 bpm and it lasts 1 measure 4/4. Mastered within Cubase SX and Wavelab using several plugins.,"['110-bpm', 'electronic', 'fm', 'loop', 'rhythmic']",6843,/audio/original/6843.wav,110 bpm FM Rhythm -17.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6843_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6843.wav,https://www.freesound.org/apiv2/packs/362/,110
Uknow Dude,Minimal Addon loop 3-123 bpm.wav,"['3-123', 'addon', 'bpm', 'loop', 'minimal', 'wav']",99686,/audio/original/99686.wav,Addon loop 3-123 bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/99/99686_1676089-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/99686.wav,https://www.freesound.org/apiv2/packs/6375/,123
Shangyne,"Here is a short loop i used in my new song, there are 2 identical loops. This one and one played on a piano, i decided to upload just this one for now.","['140', 'bass', 'beat', 'bpm', 'chase', 'loop', 'saw', 'synth', 'techno', 'trance']",82022,/audio/original/82022.wav,loop.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/82/82022_1218236-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/82022.wav,,140
Brotherprovisional,"This is a remix of samples from HardPCM's ""Chip"" pack. It was sequenced using Digital Performer and the iDrum plugin instrument. In 6/8 time.","['160-bpm', '6', '8-time', 'beats', 'loop', 'nes', 'remix']",32873,/audio/original/32873.wav,NES 160 bpm 6:8.WAV,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/32/32873_229160-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/32873.wav,,160
Brotherprovisional,"This is a remix of samples from HardPCM's ""Chip"" pack. It was sequenced using Digital Performer and the iDrum plugin instrument.","['160-bpm', 'beats', 'loop', 'nes', 'remix']",32874,/audio/original/32874.wav,NES 160 bpm.WAV,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/32/32874_229160-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/32874.wav,,160
UncleSigmund,An electric guitar riff in E with effects. 60 bpm.,"['60bpm', 'e', 'electric', 'guitar', 'loop', 'riff']",34374,/audio/original/34374.wav,guitar60bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/34/34374_95609-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/34374.wav,,60
PrimeSuspect,"1 measure, 120 bpm, F - F - G - A being played on my 5 string bass.","['loop', 'bass-guitar', 'bass-roll', 'bass-transition', '120bpm', 'F', 'A']",173416,/audio/original/173416.wav,f-a.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/173/173416_3209416-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/173416.wav,https://www.freesound.org/apiv2/packs/10869/,120
tayo123,"A nice loop i made that has delay, phase distorion and tremolo to it","['140', 'trance', 'abstract', 'synth', 'bpm', 'techno', 'house', 'electronic', 'loop', 'cool']",131187,/audio/original/131187.wav,Flow of Time .wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/131/131187_2376593-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/131187.wav,,140
Ongitak,"a one-bar dubstep bass loop, at 140 bpm.","['bass', 'dubstep', 'loop', 'sub', 'wobble']",113754,/audio/original/113754.wav,Dubstep Bass Loop 5.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/113/113754_2005415-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/113754.wav,https://www.freesound.org/apiv2/packs/7475/,140
tayo123,"loopable, good for dj or club projects","['atmosphere', 'dj', 'beat', 'trance', 'abstract', 'bpm', '120', 'club', 'techno', 'dance', 'synth', 'dream', 'loop']",132576,/audio/original/132576.wav,dreamscape.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/132/132576_2376593-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/132576.wav,,120
SpankMyFilth,"Dubstep Bass: 110 BPM wobble at 1/8th note, half of the samples as a sine LFO and saw LFO descending. Sampled in Ableton using massive, compression using PSP Compressor2. Random presets with LFO settings on key parts, and very little other effects used, mostly so this sample can be re-sampled. 110 BPM so it can be pitched up which is usually better then having to pitch samples down.","['loop', 'wobble', 'processed', 'porn-core', 'bpm', 'sound', 'techno', 'effect', 'beat', 'bass', 'noise', 'club', 'electro', 'synth', 'synthesizer', 'Skrillex', 'dub', 'trance', 'wah', 'sub', 'electronic', '110', 'dubstep', 'SpankMyFilth', 'wub', 'lfo', 'dance']",214377,/audio/original/214377.wav,48-8th Dubstep Bass c2.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/214/214377_4012250-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/214377.wav,https://www.freesound.org/apiv2/packs/13602/,110
Jovica,A rhythmic loop created with an ensemble from the Reaktor User Library. This loop has a nice electro feel and the typical higher frequency bell like content of frequency modulation. Experimental and overdriven. Broad frequency range. The tempo is 110 bpm and it lasts 1 measure 4/4. Mastered within Cubase SX and Wavelab using several plugins.,"['110-bpm', 'electronic', 'fm', 'loop', 'rhythmic']",6848,/audio/original/6848.wav,110 bpm FM Rhythm -22.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/6/6848_2518-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/6848.wav,https://www.freesound.org/apiv2/packs/362/,110
SpankMyFilth,"Dubstep Bass: 110 BPM wobble at 1/8th note, half of the samples as a sine LFO and saw LFO descending. Sampled in Ableton using massive, compression using PSP Compressor2. Random presets with LFO settings on key parts, and very little other effects used, mostly so this sample can be re-sampled. 110 BPM so it can be pitched up which is usually better then having to pitch samples down.","['loop', 'wobble', 'processed', 'porn-core', 'bpm', 'sound', 'techno', 'effect', 'beat', 'bass', 'noise', 'club', 'electro', 'synth', 'synthesizer', 'Skrillex', 'dub', 'trance', 'wah', 'sub', 'electronic', '110', 'dubstep', 'SpankMyFilth', 'wub', 'lfo', 'dance']",214379,/audio/original/214379.wav,47-8th Dubstep Bass c2.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/214/214379_4012250-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/214379.wav,https://www.freesound.org/apiv2/packs/13602/,110
mika55,just a short drum loop :),"['loop', 'drums', 'dubstep', 'synthesizer', '120bpm', 'drum']",188551,/audio/original/188551.wav,drum solo 120 bpm.WAV,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/188/188551_3224742-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/188551.wav,,120
